release_date,period,pmi
2018-02-05,2018-01,59.9
2018-03-05,2018-02,59.5
2018-04-04,2018-03,58.8
2018-05-03,2018-04,56.8
2018-06-05,2018-05,58.6
2018-07-04,2018-06,59.1
2018-08-03,2018-07,55.7
2018-09-06,2018-08,58.5
2018-10-03,2018-09,61.6
2018-11-05,2018-10,60.3
2018-12-05,2018-11,60.7
2019-01-03,2018-12,57.6
2019-02-05,2019-01,56.7
2019-03-05,2019-02,59.7
2019-04-03,2019-03,56.1
2019-05-03,2019-04,55.5
2019-06-05,2019-05,56.9
2019-07-03,2019-06,55.1
2019-08-05,2019-07,53.7
2019-09-04,2019-08,56.4
2019-10-03,2019-09,52.6
2019-11-05,2019-10,54.7
2019-12-04,2019-11,53.9
2020-01-07,2019-12,55.0
2020-02-05,2020-01,55.5
2020-03-04,2020-02,57.3
2020-04-03,2020-03,52.5
2020-05-05,2020-04,41.8
2020-06-03,2020-05,45.4
2020-07-03,2020-06,57.1
2020-08-05,2020-07,58.1
2020-09-03,2020-08,56.9
2020-10-05,2020-09,57.8
2020-11-04,2020-10,56.6
2020-12-03,2020-11,55.9
2021-01-07,2020-12,57.2
2021-02-03,2021-01,58.7
2021-03-03,2021-02,55.3
2021-04-05,2021-03,63.7
2021-05-05,2021-04,62.7
2021-06-03,2021-05,64.0
2021-07-05,2021-06,60.1
2021-08-04,2021-07,64.1
2021-09-03,2021-08,61.7
2021-10-05,2021-09,61.9
2021-11-03,2021-10,66.7
2021-12-03,2021-11,69.1
2022-01-05,2021-12,62.0
2022-02-03,2022-01,59.9
2022-03-03,2022-02,56.5
2022-04-05,2022-03,58.3
2022-05-04,2022-04,57.1
2022-06-03,2022-05,55.9
2022-07-05,2022-06,55.3
2022-08-03,2022-07,56.7
2022-09-05,2022-08,56.9
2022-10-05,2022-09,56.7
2022-11-03,2022-10,54.4
2022-12-05,2022-11,56.5
2023-01-04,2022-12,49.6
2023-02-03,2023-01,55.2
2023-03-03,2023-02,55.1
2023-04-05,2023-03,51.2
2023-05-03,2023-04,51.9
2023-06-05,2023-05,50.3
2023-07-05,2023-06,53.9
2023-08-03,2023-07,52.7
2023-09-05,2023-08,54.5
2023-10-04,2023-09,53.6
2023-11-03,2023-10,51.8
2023-12-05,2023-11,52.7
2024-01-03,2023-12,50.6
2024-02-05,2024-01,53.4
2024-03-05,2024-02,52.6
2024-04-03,2024-03,51.4
2024-05-03,2024-04,49.4
2024-06-05,2024-05,53.8
2024-07-03,2024-06,48.8
2024-08-05,2024-07,51.4
2024-09-04,2024-08,51.5
2024-10-03,2024-09,54.9
2024-11-05,2024-10,56.0
2024-12-04,2024-11,52.1
2025-01-03,2024-12,54.1
2025-02-05,2025-01,52.8
2025-03-05,2025-02,53.5
2025-04-03,2025-03,50.8
2025-05-05,2025-04,51.6
2025-06-04,2025-05,49.9
2025-07-03,2025-06,50.8
2025-08-05,2025-07,50.1
2025-09-03,2025-08,52.0
2025-10-03,2025-09,50.0
2025-11-05,2025-10,52.4
2025-12-03,2025-11,52.6
2026-01-07,2025-12,54.4
2026-02-04,2026-01,53.8
2026-03-04,2026-02,56.1
2026-04-06,2026-03,54.0
2026-05-05,2026-04,53.6
2026-06-03,2026-05,54.5
2026-07-06,2026-06,54.0
